stdout: Version			Name					Status	
20200810161022000004	flow_rename				Pending	
20200810161022000005	flow_rename				Pending	
20200810161022000006	flow_rename				Pending	
20200810161022000007	flow_rename				Pending	
20200810161022000008	flow_rename				Pending	
20200810162450000000	flow_fields_rename			Pending	
20200810162450000001	flow_fields_rename			Pending	
20200810162450000002	flow_fields_rename			Pending	
20200810162450000003	flow_fields_rename			Pending	
20200812124254000000	add_session_token			Pending	
20200812124254000001	add_session_token			Pending	
20200812124254000002	add_session_token			Pending	
20200812124254000003	add_session_token			Pending	
20200812124254000004	add_session_token			Pending	
20200812124254000005	add_session_token			Pending	
20200812124254000006	add_session_token			Pending	
20200812124254000007	add_session_token			Pending	
20200812160551000000	add_session_revoke			Pending	
20200812160551000001	add_session_revoke			Pending	
20200812160551000002	add_session_revoke			Pending	
20200812160551000003	add_session_revoke			Pending	
20200812160551000004	add_session_revoke			Pending	
20200812160551000005	add_session_revoke			Pending	
20200812160551000006	add_session_revoke			Pending	
20200812160551000007	add_session_revoke			Pending	
20200830121710000000	update_recovery_token			Pending	
20200830130642000000	add_verification_methods		Pending	
20200830130642000001	add_verification_methods		Pending	
20200830130642000002	add_verification_methods		Pending	
20200830130642000003	add_verification_methods		Pending	
20200830130642000004	add_verification_methods		Pending	
20200830130642000005	add_verification_methods		Pending	
20200830130642000006	add_verification_methods		Pending	
20200830130642000007	add_verification_methods		Pending	
20200830130642000008	add_verification_methods		Pending	
20200830130642000009	add_verification_methods		Pending	
20200830130642000010	add_verification_methods		Pending	
20200830130643000000	add_verification_methods		Pending	
20200830130644000000	add_verification_methods		Pending	
20200830130644000001	add_verification_methods		Pending	
20200830130645000000	add_verification_methods		Pending	
20200830130646000000	add_verification_methods		Pending	
20200830130646000001	add_verification_methods		Pending	
20200830130646000002	add_verification_methods		Pending	
20200830130646000003	add_verification_methods		Pending	
20200830130646000004	add_verification_methods		Pending	
20200830130646000005	add_verification_methods		Pending	
20200830130646000006	add_verification_methods		Pending	
20200830130646000007	add_verification_methods		Pending	
20200830130646000008	add_verification_methods		Pending	
20200830130646000009	add_verification_methods		Pending	
20200830130646000010	add_verification_methods		Pending	
20200830130646000011	add_verification_methods		Pending	
20200830154602000000	add_verification_token			Pending	
20200830154602000001	add_verification_token			Pending	
20200830154602000002	add_verification_token			Pending	
20200830154602000003	add_verification_token			Pending	
20200830154602000004	add_verification_token			Pending	
20200830172221000000	recovery_token_expires			Pending	
20200830172221000001	recovery_token_expires			Pending	
20200830172221000002	recovery_token_expires			Pending	
20200830172221000003	recovery_token_expires			Pending	
20200830172221000004	recovery_token_expires			Pending	
20200830172221000005	recovery_token_expires			Pending	
20200830172221000006	recovery_token_expires			Pending	
20200830172221000007	recovery_token_expires			Pending	
20200830172221000008	recovery_token_expires			Pending	
20200830172221000009	recovery_token_expires			Pending	
20200830172221000010	recovery_token_expires			Pending	
20200830172221000011	recovery_token_expires			Pending	
20200830172221000012	recovery_token_expires			Pending	
20200830172221000013	recovery_token_expires			Pending	
20200830172221000014	recovery_token_expires			Pending	
20200830172221000015	recovery_token_expires			Pending	
20200830172221000016	recovery_token_expires			Pending	
20200830172221000017	recovery_token_expires			Pending	
20200830172221000018	recovery_token_expires			Pending	
20200830172221000019	recovery_token_expires			Pending	
20200830172221000020	recovery_token_expires			Pending	
20200830172221000021	recovery_token_expires			Pending	
20200830172221000022	recovery_token_expires			Pending	
20200830172221000023	recovery_token_expires			Pending	
20200830172221000024	recovery_token_expires			Pending	
20200831110752000000	identity_verifiable_address_remove_code	Pending	
20200831110752000001	identity_verifiable_address_remove_code	Pending	
20200831110752000002	identity_verifiable_address_remove_code	Pending	
20200831110752000003	identity_verifiable_address_remove_code	Pending	
20200831110752000004	identity_verifiable_address_remove_code	Pending	
20200831110752000005	identity_verifiable_address_remove_code	Pending	
20200831110752000006	identity_verifiable_address_remove_code	Pending	
20200831110752000007	identity_verifiable_address_remove_code	Pending	
20200831110752000008	identity_verifiable_address_remove_code	Pending	
20200831110752000009	identity_verifiable_address_remove_code	Pending	
20200831110752000010	identity_verifiable_address_remove_code	Pending	
20200831110752000011	identity_verifiable_address_remove_code	Pending	
20200831110752000012	identity_verifiable_address_remove_code	Pending	
20200831110752000013	identity_verifiable_address_remove_code	Pending	
20200831110752000014	identity_verifiable_address_remove_code	Pending	
20200831110752000015	identity_verifiable_address_remove_code	Pending	
20200831110752000016	identity_verifiable_address_remove_code	Pending	
20200831110752000017	identity_verifiable_address_remove_code	Pending	
20200831110752000018	identity_verifiable_address_remove_code	Pending	
20200831110752000019	identity_verifiable_address_remove_code	Pending	
20200831110752000020	identity_verifiable_address_remove_code	Pending	
20200831110752000021	identity_verifiable_address_remove_code	Pending	
20201201161451000000	credential_types_values			Pending	
20201201161451000001	credential_types_values			Pending	

stderr: 
